Id,CourseName,CourseNumber,DepartmentCode,CourseDescription,Credits
164, International Economics: Exchange Rates and Balance of Payments,3740,ECON,Theory of exchange rate determination and balance of payments adjustment; macroeconomic policy in an open economy; current problems of the international monetary system. (Prerequisite: ECON-2310.),3
165, Game Theory,3800,ECON,"The study of strategic interactions among decision makers. Equilibrium concepts, such as Nash equilibrium, sub-game perfect equilibrium, etc, will be introduced and their applications to economic, political and biological decision making will be discussed. (Prerequisite: ECON-2210 or the combination of ECON-1100 and one of MATH-1760 or MATH-1720.)",3
166, Public Sector Economics: Expenditure,3850,ECON,Theory of the role of government in the economy; public expenditure theories and practice; public choice and government decision-making; government grants. (Prerequisites: ECON-2210.),3
167, Mathematical Economics II,4060,ECON,"Topics will include general equilibrium theory, dynamic analysis, oligopoly, behaviour under uncertainty, and growth theory. (Prerequisites: ECON-2220, ECON-2320, ECON-3060, and MATH-1730.)",3
168, Senior Research Workshop,4070,ECON,"This course is intended to develop independent research and presentation skills. Students will be assigned a topic (or topics). Students will be expected to conduct a literature survey, collect data, present data in a descriptive format, formulate and carry out formal econometric tests. Students will be assessed on the basis of classroom presentations classroom discussion and written assignments. (Prerequisites: ECON-3130, ECON-4230 and ECON-4330.) (This course is open to students who are enrolled in an Honours Economics program.)",3
169, Introduction to Econometric Methods II,4140,ECON,A continuation of ECON-3130. (Prerequisite: ECON-3130.),3
170, Urban and Regional Economics,4160,ECON,"Economics of cities and urban problems; effects on production and trade; urban problems such as poverty, congestion, pollution and crime.",3
171, Advanced Microeconomics I,4230,ECON,"The use of mathematical techniques and economic analysis with special emphasis on consumer theory, producer theory, and theory of markets. (Prerequisites: ECON-2210, ECON-2220, ECON-3060, or consent of instructor.)",3
172, Advanced Microeconomics II,4240,ECON,Selected topics in microeconomic theory. (Prerequisite: ECON-4230.),3
173, Economics Analysis of Law,4300,ECON,"The application of microeconomic principles to the study of property, contract, and tort law. The economic principles underlying property rights, torts, and contracts are surveyed. Selected problems in property, tort, and contract law are considered. Additional topics from other areas of law may be included. (Prerequisite: ECON-2210.)",3
174, Advanced Macroeconomics I,4330,ECON,"Modern interpretations of macroeconomics, including inflation, unemployment, and policy implications. (Prerequisites: ECON-2320 and ECON-3060)",3
175, Advanced Macroeconomics II,4340,ECON,Selected topics in macroeconomic theory. (Prerequisite: ECON-4330.),3
176, Cost-Benefit Analysis,4600,ECON,"The techniques and application of cost-benefit analysis to public sector policies and projects. Topics include the welfare foundations or cost-benefit analysis, investment decision rules, the choice of a social discount rate, risk and uncertainty, shadow pricing of inputs and outputs, public sector pricing and the assessment of the value of intangibles such as time, life and noise. (Prerequisite: ECON-2210, or the combination of ECON-1100 and one of MATH-1300 or MATH-1720.)",3
177, Public Sector Economics: Finance,4860,ECON,"Government taxation, user charges, borrowing, and the public debt in theory and practice; use of taxation as fiscal policy; and intergovernmental tax relations. (Prerequisites: ECON-2220.)",3
178, Economics Internship,4950,ECON,"The economics internship course provides an opportunity for Economics students to combine their university education with career-related experience in their field of study. The course will increase the student’s skills and knowledge while working on practical tasks and projects. Students are placed with companies that provide training, a structured work environment and professional supervision of their work. The students are expected to accept and complete a minimum of 96 hours working on assignments at the host organization during one full semester. The students will attend an orientation class at the beginning and a class for course evaluation at the end of the semester.",3
179, Composition,1001,ENGL,"An exploration of the fundamentals of effective writing, including attention to rhetorical concepts of audience, purpose, and context; planning, logical development, and organization; and format and style. (Because of the large number of written assignments and the need for individual instruction, enrollment in ENGL-1001 is limited.) (Not open to students majoring in English.)",3
180, Writing Creatively,1006,ENGL,"An introduction to the fundamentals of writing creatively in various genres with emphases on reading and writing skills, discussions of published texts, and in-class workshops and writing exercises. (No portfolio submission required for admission.) (Does not count for credit as one of the five required creative writing courses of the English Literature and Creative Writing program.)",3
181, Writing about Literature,1002,ENGL,"An introduction to the basic tools for analyzing and writing about literature. Students will be trained in practical criticism of the major genres of literature (poetry, drama, and narrative) and will write a number of critical essays. (Not available on an Audit basis.) (Restricted to majors in English and BAS only.)",3
182, Drama of the Western World: The Tragic Vision,1229,ENGL,"An introduction to tragedy from antiquity to the present, from literary and theatrical perspectives.",3
183, Drama of the Western World: The Comic Vision,1239,ENGL,"An introduction to comedy from antiquity to the present, from literary and theatrical perspectives.",3
184, Women and Literature,1289,ENGL,An introduction to the ways in which women have been represented and constructed in English literature of various periods.,3
185, Topics in Literature,1409,ENGL,"An introduction to a topic in literature. Topics may include Canadian Aboriginal literature; literature pertaining to topics such as the Bible, the environment, disability studies, film, or music; comparative literatures; or world literatures in English. (May be repeated for credit if the topics are different.)",3
186,NULL,NULL,NULL,NULL,3
187, Topics in World Literatures,2310,ENGL,"This course features world literature in English or in translation drawn from Western and non-Western sources. Historical settings, cultural backgrounds and critical commentaries complement views on cultural diversity and inter-disciplinarity. This course focuses on any of the major genres, including non-fiction and a variety of literary traditions including women's, minority, and ethnic literatures. Topics could include Orientalism, Diaspora writing, as well as African, Asian, Chinese, European, or Middle-Eastern literatures either in English or in translation. (May be repeated for credit if the topics are different.) (Prerequisite: Semester 3 standing and one 1000-level English literature course.)",3
188, Topics in Culture and Text,2029,ENGL,"This course will feature studies in English literature with changing emphasis on particular themes, genres, or authors. Topics might include genre studies such as Science Fiction, Children’s literature, Detective Fiction, Visual Narrative (i.e.; Comics), Environmental Criticism, Disability and Literature, and the Semiotics of media, among others. (May be repeated for credit if the topics are different). (Prerequisite: Semester 3 standing and one 100 level English literature course) (Prerequisite: Semester 3 standing and one 100 level English literature course).",3
189, Creative Writing I,2710,ENGL,"An intensive workshop in various genres. Previous formal creative writing experience is expected. (Portfolio approval is required for admission.) (Not available on an Audit basis.) (A 6.0-credit, two-term course.)",3
190, Children’s Literature,2059,ENGL,"A critical study of selected works of literature written for children, including nursery rhymes, fairy tales, and book-length classics. (Prerequisite: Semester 3 standing and one English-literature course.)",3
191, Early British Literature,2109,ENGL,"A critical study of selected works of major writers of the Medieval, Renaissance, Restoration, and early eighteenth-century periods (from 450 to 1760) (Restricted to English majors only.) (Students may not receive credit for both ENGL-2109 and 26-110).",3
192, Later British Literature,2119,ENGL,"A critical study of selected works of major writers of the Romantic, Victorian, and Modern periods (from 1760 to the present). (Restricted to English majors only.) (Students may not receive credit for both ENGL-2119 and 26-111).",3
193, Canadian Literature,2609,ENGL,"A critical study of selected works of Canadian literature across various genres, regions, and communities. (Prerequisite: Semester 3 standing and one English-literature course.) (Restricted to English majors.)",3
194, US Literature,2709,ENGL,"A critical study of selected works of US literature across various genres, regions, and communities. (Prerequisite: Semester 3 standing and one English-literature course.)(Restricted to English majors.)",3
195, Contemporary Literary Theory,2809,ENGL,"A survey of contemporary literary theory, which may include new criticism, structuralism, poststructuralism, hermeneutics, psychoanalysis, Marxism, new historicism, or gender studies. Explores fundamental critical concepts, with an emphasis on the ways in which notions of reading, textuality, authorship, and subjectivity have developed in Anglo-American and European thought. (Prerequisite: Semester 3 standing and one 1000-level literature course in English.) (Restricted to English Majors)",3
196, History of Literary Criticism,2859,ENGL,"Major Works, movements, and ideas in literary criticism from the Greek Classics to the mid-Twentieth century will be covered. This course will help students develop skills in the application of theory as well as the criticism of theory itself. Key schools of thought or movements covered could include Classical, Neo-Classic, Feminist, Humanist, Romantic, Nihilist, Existential, Marxist, and Psychoanalytic, among others. (Prerequisite: Semester 3 standing and one 1000-level English literature course.)",3
197, Introduction to Rhetoric,2410,ENGL,"A survey of historical and theoretical aspects of rhetoric from the fifth century BCE to the present, including an examination of the relationship between rhetoric, epistemology, ethics, and politics. (Prerequisite: Semester 3 standing and one 1000-level English literature course.)",3
198, History of the English Language,2420,ENGL,A survey of the background and origins of the English language and its various forms from Old English to the end of the eighteenth century. (Prerequisite: Semester 3 standing and one 1000-level English literature course.) (Restricted to English majors.),3
199, Modern English and Linguistics,2939,ENGL,"A survey of linguistics (the study of languages as systems), with particular emphasis on the English language. (Prerequisite: Semester 3 standing and one 1000-level English literature course.)",3
200, Gender and Literature,3019,ENGL,"A study of how gender is constructed in texts from a variety of periods, with emphasis on cultural contexts, feminist theory, and notions of gender and sexuality. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
201, Writing About the Arts (Practicum),3002,ENGL,"A practicum in writing about contemporary forms of artistic expression. Students will write in multiple genres, exploring connections between art, its social and cultural contexts, and their own experience. Coursework and assignments will be complemented by interactive explorations of a variety of art forms. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
202, Creative Writing II: Special Topics,3710,ENGL,"An advanced workshop featuring a specific genre, approach, or subject. (Portfolio approval is required for admission.) (May be repeated for credit if topics are different.) (Not available on an Audit basis.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
203, Editing Practicum,3059,ENGL,"A practicum in the theory and practice of editing historical, scholarly, and creative works. Students will be directly involved with current editorial projects in the Department. (Permission of the instructor required.) (Not available on an Audit basis.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
204, Publishing Practicum,3069,ENGL,"This course introduces students to theoretical and practical aspects of book production and provides a framework to apply knowledge and skills to concrete projects. Students will oversee the creation of a bound publication working with a finished, edited manuscript. The course will focus on project management, budgeting, author relationships, design, production, publicity, sales and marketing. This course covers the fundamentals of pre-publication planning as well as pre-press and printing production, principles of graphic design, and issues surrounding copyright. The emphasis of the course is on praxis; students are expected to make decisions at each stage of production, from choosing a printing house to determining the best way to promote and market the finished book. Completed projects will be published through a professional Press, or in the format of a scholarly journal. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
205, Digital Journalism and Storytelling (Practicum),3079,ENGL,"A workshop in writing across mainstream and alternative digital and social media. Students will develop strategies for conducting effective interviews, discover new approaches to packaging stories with available contemporary elements, find target audiences, develop their skills using digital communications tools, and identify the best social media platforms to deliver their stories. (Not available on an Audit basis.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
206, Scholarship and Bibliography (Practicum),3099,ENGL,"A study of literary research methods and textual scholarship. Includes practice in research techniques and in bibliographic description, the study of editing procedures, and the examination of the historical and theoretical contexts of textual production. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
207, Middle English Literature,3109,ENGL,"A study of post-1066 Medieval literature, excluding Chaucer. Texts will be read in normalized Middle English. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
208, Chaucer,3129,ENGL,"A study of the major works of Chaucer, including The Canterbury Tales. Texts will be read in normalized middle English. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
209, Topics in Medieval Literature,2149,ENGL,"Studies in Medieval literature, with changing emphasis on particular themes, genres, or authors. Topics might include Old English or Medieval Romance. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
210, Topics in Renaissance Literature,3229,ENGL,"Studies in Renaissance literature, with changing emphasis on particular themes, genres, or authors. Topics might include Milton and Paradise Lost, early seventeenth-century lyric, or literature of the English Revolution. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
211, Sixteenth-Century Non-Dramatic Literature,3239,ENGL,"A study of continuity and change in English literature, culture, and intellectual history in the sixteenth century. Explores canonical and non-canonical poetry and prose by men and women in the context of the European Renaissance and Reformation. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
212, Seventeenth-Century Non-Dramatic Literature,3249,ENGL,"A study of continuity and change in English literature, culture, and intellectual history in the seventeenth century. Explores canonical and non-canonical poetry and prose by men and women in an age of religious, political, and scientific revolution. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
213, Shakespeare I,3269,ENGL,"A study of selected plays to 1600 (early tragedies, histories, and comedies) from literary and theatrical perspectives. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
214, Shakespeare II,3279,ENGL,"A study of selected plays from 1600 (tragicomedies, tragedies, and romances) from literary and theatrical perspectives. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
215, Topics in Renaissance Drama,3289,ENGL,"Studies in Renaissance drama, with changing emphasis on particular themes, genres, or authors. Topics might include Shakespeare in Performance (at the Academy at the Stratford Festival) or drama of the English Renaissance (excluding Shakespeare). (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
216, Restoration Literature,3339,ENGL,"A study of literature in the light of the shifting social, political, and intellectual contexts of 1660-1700. Texts include poetry, drama, fiction, and polemical prose by men and women. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
217, Eighteenth-Century Literature,3349,ENGL,"A study of literature from the Augustans to the Romantics. Texts range from poetry to short fiction to journalistic prose by men and women. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
218,ENGL-3359 Restoration and Eighteenth Century Drama-,3359,ENGL,"A study of English plays and theatre 1660-1800. Writers may include Etherege, Behn, Dryden, Congreve, Steele, Lillo, Goldsmith, and Sheridan. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
219, Topics in Restoration and 18th-Century Literature,3369,ENGL,"Studies in Restoration and eighteenth-century literature with changing emphasis on particular themes, genres, or authors. Topics might include eighteenth-century fiction, satire, gender and literature, and colonialism. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
220, Early Romanticism,3439,ENGL,"A study of the literature of late eighteenth-century Britain in its historical and cultural contexts. Writers may include Burns, Austen, Blake, Wollstonecraft, Godwin, Walpole, Wordsworth, and Coleridge. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
221, Later Romanticism,3449,ENGL,"A study of the literature of late eighteenth and early nineteenth-century Britain in its historical and cultural contexts. Writers may include Mary Shelley, Keats, Byron, Hemans, P. B. Shelley, de Quincey, and Clare. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
222, Early Victorians,3469,ENGL,"A study of responses to industrialization, urbanization, social reform, gender relations, and late Romantic ideas. Writers may include Dickens, Gaskell, Tennyson, Carlyle, and the Brownings. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
223, Later Victorians,3479,ENGL,"A study of responses to changing attitudes and values in art and society from mid-century to the death of Queen Victoria. Writers may include Arnold, Eliot, the Rossettis, Hardy, and Wilde. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
224, Topics in Victorian Literature,3489,ENGL,"Studies in Victorian literature with changing emphasis on particular themes, genres, or authors. Topics might include the “Woman Question”, representations of empire, literature of the fin-de-siècle, the Brontës, the working-class question, or Victorian gothic. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
225, Topics in Romantic Literature,3499,ENGL,"Studies in Romantic literature with changing emphasis on particular themes, genres, or authors. Topics might include Romantic biography/autobiography, landscape and representation, Romantic women writers, the Jacobin novelists, Romanticism and race, or the gothic. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
226, Modern Drama,3509,ENGL,"A study of drama from the end of the nineteenth century to the mid twentieth century. Writers may include Henrik Ibsen, Anton Chekhov, August Strindberg, Oscar Wilde, George Bernard Shaw, Eugene O’Neill, Gertrude Stein, Eugene Ionesco, Arthur Miller, and Harold Pinter among others. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
227, Modern British Literature,3529,ENGL,"A study of works published in the first half of the twentieth century. Writers may include Hopkins, Hardy, James, Conrad, Lawrence, Eliot, Woolf, Ford, and Auden. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
228, Contemporary British Literature,3539,ENGL,"A study of works published since the mid-twentieth century. Writers may include Orwell, Jones, Greene, Golding, Spark, Fowles, Pinter, Stoppard, Caryl Churchill, Dylan Thomas, Amis, Larkin, Hughes, and D. M. Thomas. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
229, Literature and Postcolonialism,3549,ENGL,"A study of the literature of nations and peoples responding to various forms of oppression, including colonization, racism, assimilation, and genocide. Introduces relevant theory and focuses on contemporary English-language texts from Africa, the Caribbean, South Asia, North America, and elsewhere. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
230, Modern Irish Literature,3559,ENGL,"A study of works published since the start of the twentieth century. Writers may include Yeats, Joyce, Synge, O’Casey, Clark, Beckett, Kavanaugh, O’Brien, Kinsella, Trevor, and Heaney. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
231, Contemporary Drama,3569,ENGL,"A study of drama from the mid-twentieth century to the present. Writers may include Samuel Beckett, Derek Walcott, Wole Soyinka, Caryl Churchill, Harold Pinter, Cherríe Moraga, David Henry Hwang, Tom Stoppard, Edward Bond, David French, Robert Lepage, among other diverse and popular playwrights, collectives, and performance artists. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
232, Topics in Modern and Contemporary British Literature,3579,ENGL,"Studies in modern and contemporary British literature with changing emphasis on particular themes, genres, or authors. Topics might include literary impressionism, poets of WWI, or the mid-length poem. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
233, Native Literatures and Cultures,3589,ENGL,"A study of literature by First Nations and Aboriginal writers from Canada, the United States, New Zealand, and Australia. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
234, Literatures of the African Diaspora,3320,ENGL,"A study of literatures in English produced by writers of African descent in Africa, the Americas, Canada and the Caribbean. The course may take as its focus a specific period or the development of the literature of a particular area. The course may include works by writers and theorists such as: Derek Walcott, Wole Soyinka, Toni Morrison, George Elliott Clarke, Ama Ita Aidoo, Frantz Fanon, Paul Gilroy, and Ngugi Wa Thiong ’O. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
235, Topics in Canadian Literature,3619,ENGL,"Studies in Canadian literature with changing emphasis on the literature of a particular region or community, a particular genre, or select authors. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
236, Canadian Poetry,3669,ENGL,"A study of significant modern and contemporary Canadian poetry. Discussion may include questions of form, voice, place, identity, and community. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
237, Canadian Fiction,3679,ENGL,"A study of significant modern and contemporary Canadian short stories and novels. Discussion may include questions of identity, place, form, voice, and community. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
238, Topics in USLiterature,3719,ENGL,"Studies in US literature, with changing emphasis on particular themes, genres, or authors. Topics might include American gothic, 19th-century citizenship, African-American literature, or the Harlem Renaissance. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
239, US Literature: Colonials to Civil War,3729,ENGL,"A study of the emergence and development of US literary identity from the earliest settler writings through to the American Renaissance. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
240, US Literature: Civil War to Realists,3739,ENGL,"A study of innovations in style and subject during the period between the Civil War and World War I. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
241, The US Moderns,3749,ENGL,"(Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
242, The Literature of Contemporary America,3759,ENGL,"A study of post-WWII US literature in the contexts of contemporary social and artistic change. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
243, Topics in Literary or Cultural Theory,3839,ENGL,"Studies in selected theories, theorists, or movements and countermovements in contemporary literary theory, cultural studies, or intellectual history. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
244, Topics in Language and Linguistics,3420,ENGL,"Studies in language and linguistics, with changing emphasis on an area or subfield of linguistics (e.g., syntax or sociolinguistics) or of a related field. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
245, Advanced Composition Theory and Practice,3979,ENGL,"A study of the relationship between theory and practice in Composition. Applying theories of Composition and writing in a variety of genres, students will examine how people write and how discourse is produced and circulated. (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
246, Topics in Composition and Rhetoric,3410,ENGL,"Studies in Composition and Rhetoric, with changing emphasis on particular aspects of these fields. Topics might include literacy studies, visual rhetorics, or rhetoric and contemporary society. (May be repeated for credit if the topics are different.) (Prerequisite: Semester three standing, and two of ENGL-1002; ENGL-2109 or ENGL-2119.)",3
247, Seminar in Medieval Literature,4119,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
248, Seminar in Renaissance Literature,4129,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
249, Seminar in Restoration and Eighteenth-Century Literature,4139,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
250, Seminar in Romantic Literature,4149,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
251, Seminar in Twentieth-Century British Literature,4159,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
252, Seminar in Canadian Literature,4169,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
253, Seminar in American Literature,4179,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
254, Seminar in Literary or Cultural Theory,4189,ENGL,"(Prerequisite: Semester 7 standing and ten English courses, including ENGL-2809.)",3
255, Seminar in Composition and Rhetoric,4199,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
256, Special Topics Seminar,4209,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
257, Seminar in Literature of the Victorian Period,4249,ENGL,(Prerequisite: Semester 7 standing and ten English courses.),3
258, Past to Present: Understanding History,1030,HIST,"This course is specifically designed for first semester history majors, to introduce them to the history department, different kinds of historical inquiry, and the basics of historical research. Further, it is designed to create a cohort of the new history majors, both through participating in this class together and by working in small groups.",3
259," Europe Encounters the World: Facing Islam, 8th-15th Century",1130,HIST,"This course looks at the different forms of contact between Europeans and the rest of the world during the Middle Ages, focusing on conflict and coexistence with Islam. It will consider exchanges between civilizations, whether of an economic, cultural, artistic or spiritual nature. Topics include Muslim Spain, the Crusades, the Ottoman Empire and Venice.",3
260," Europe Encounters the World: The Age of Discovery, 15th-18th Century",1140,HIST,"This course looks at the different forms of contact between Europeans and the rest of the world during their first period of imperial expansion (15th-18th Century). Special attention will be paid to the discovery, conquest and settlement of India, Asia, and the Americas, as well as the relationship of Europeans with native populations of these continents.",3
261," The World in the Twentieth Century, 1914-1945",1230,HIST,"An overview of the major events and movements during the first half of the ‘short’ twentieth century. The course will broadly explore the world-wide impact of the world wars, communism, fascism, colonialism, the Great Depression, etc. The geographical focus of the material will vary with the instructor.(3 lecture hours or 2 lecture hours, 1 tutorial hour a week.)",3
262," The World in the Twentieth Century, 1945-Present",1240,HIST,"An overview of the major events and movements during the second half of the ‘short’ twentieth century. The course will broadly explore the world-wide impact of the Cold War, communism, decolonization, globalization, terrorism, etc. The geographical focus of the material will vary with the instructor. (3 lecture hours or 2 lecture hours, 1 tutorial hour a week.)",3
263,Selected Topics,1970,HIST,Topics of current interest in history which may vary from year to year. (May be repeated for credit if content changes.),3
264,Early Modern Europe,2010,HIST,"A survey of Europe from the Age of Discovery to the French Revolution. Areas of study will include the formation of a world economy, the industrial revolution, the rise of the nation state, popular culture, the Catholic and Protestant Reformations, the printing revolution, the Renaissance, the scientific revolution, and the Enlightenment. (3 lecture hours a week.)",3
265,Modern Europe,2020,HIST,"A survey of Europe from the French Revolution to the present. Areas of study may include political ideologies, revolution, imperialism, world war, cold war, and European union. (3 lecture hours a week.)",3
266, Making History: Methods and Practices,2030,HIST,"This course builds on historical skills and knowledge of the discipline introduced in HIST-1030. It emphasizes skills in research, assessing evidence, analyzing primary sources, bibliographic skills, and others tools needed for writing history papers. It will also introduce students to public history, digital history, and the ethics of research. At a larger level, it helps students think critically about the past and to recognize the way historians interpret the past and use evidence. (Pre-requisite: HIST-1030 or consent of instructor) (Anti-requisite: HIST 2030)",3
267,"Early Modern England, 1485-1714",2070,HIST,"A survey of England’s transition from a medieval realm to a modern state. Areas of study may include relations with Scotland, Ireland and Europe, as well as dynastic, religious, and constitutional change. (3 lecture hours or 2 lecture hours/1 tutorial hour a week.)",3
268,"Modern Britain, 1714 - Present",2080,HIST,"A survey of Britain’s experience of industrialism, imperialism and post-colonialism. Areas of study may include political and social reform, the world wars, the welfare state, and the European Union. (3 lecture hours or 2 lecture hours/1 tutorial hour a week.)",3
269, Islamic History: Formative Period 600-1000,2100,HIST,"This is a survey course that examines the development of a distinctive Islamic civilization over the course of four centuries in southern Europe, North Africa, the Middle East, and portions of Central Asia. The lectures will emphasize the following themes: 1) the formation of Islamic civilization as a long-term and gradual process engaged in by the conquering Arab Muslims and their conquered subjects; 2)the diversity of expressions of Islamic culture and religious practices; and 3) the important role played by historical memory in the formation of Islamic culture.",3
270," Islamic History: Consolidation, Expansion and Empire 1000 - 1800",2110,HIST,"This is a survey course that explores the middle and early modern periods of Islamic history from 1000 to 1800 C.E. The middle period was one of continuing change and innovation as new political and religious institutions were developed. Throughout this period, the influence of Islamic civilization continued to expand to new regions including sub-Saharan Africa, Central Asia, and Southeast Asia. From 1500-1800 C.E. Muslims founded the Ottoman, Safavid, and Mughal empires. The subjects of these empires adopted new technologies and new patterns of trade as participants in the developing new world economy. The close of the course will be devoted to considering growing European dominance over these empires over the course of the 18th century, and the military and reforming modernizing schemes adopted by Muslims in response. (3 lecture hours per week.)",3
271, Modern Islamic History 1800-Present: The Rise of Secular Nationalism and Political Islam,2120,HIST,"This survey course explores the history of the modern Islamic World. The dissolution of early modern empires led to a loss of sovereignty for most Muslims. The very serious challenges of colonialism, Zionism, war and civil war, and the impact of the oil economy were part of the Islamic world's encounter with modernity. So was the activism in the public and private spheres with which these challenges were met including the adoption of civil law codes, the creation of new national identities, Islamic reform movements and debates about gender and the role of women driven by intellectuals and elites. The final weeks of the course will address the tumultuous twenty-first century in the region, the Arab Spring and Political Islam in its various forms. (3 lecture hours per week.)",3
272,War in the 20th Century,2180,HIST,"An overview of the evolution of military conflict during the last one hundred years. In addition to traditional military history, this course will introduce many facets of the New Military History, such as the social history of soldiers, life on the homefront, gender and war, etc. (3 lecture hours, or 2 lecture hours and 1 tutorial hour per week.)",3
273," History of Africa, 700-1800",2200,HIST,"This course is an overview of the major historical shifts in Africa during the pre-modern period (700-1800 AD). Its purpose is to introduce the student to Africa and the Africans: the space and its occupants. Main topics include climatic and linguistic maps, major networks of trade and communication, the cultivation of the `Semitic’ heritage (Christianity and Islam) and its impact on African experiences and relations with the rest of the world.",3
274," Canada from Early European Contacts to the Origins of Confederation, 1600-1867",2430,HIST,"An overview covering Aboriginal societies, European colonialism, and the emergence of the Canadian federation. Areas may include native-newcomer relations, colonial culture and society, imperial conflict, and the origins of confederation. (3 lecture hours or 2 lecture hours, 1 tutorial hour a week.)",3
